3X87C8JFV793A05CDNR53Y7SNB0QS7 W366 |Kunkka solo kills zeus with ulti, torrent and tidebringer|
3GM6G9ZBKOVD4LKZAUPEWUJ9FTMTMH W233 |Silencer killed Puck, Lycan killed Tusk.|
3OE22WJIGJMJPDXG2SM5IZPG88TUQZ W208 skip
3OE22WJIGJMJPDXG2SM5IZPG89IQUM W130 skip
3A1COHJ8NKT8ENR0GZY6DTFQKVX8HV W112 |green team gets a kill onto red team at 14:31 in scoreboard time|
3OHYZ19UGD3WPS62HADATTIMM5DAOR W84 |Kunkka kills Zeus by executing a flawless X Torrent Ship Combo|
3MB8LZR5BGRUVKCRG9A7VQHOWDIKLH W237 |USHUSHUSHUSHUSHUSH was on a killing spree and killed empty 295|
3NKQQ8O39Z3P04TBX6GLI0IHPWYUDU W370 |Player speared all incoming invaders|
3DQQ64TANHJBH5L6XFMH0IK3OW2WP1 W55 |The one in the blue aura killed both the purple-skinned creature and the blue-skinned creature.|
33TIN5LC058UEN0ZVR88ZP54U0Q9YO W142 |Darou killed Player @ 23:05|
3HMVI3QICKQCPIX4RETFKJNLWO91YE W83 |Kunka killed Zeus using combo of x mark the spot and Ghostship|
3W92K5RLWVFU963INQ87GAW8QNJV5O W243 |Darou on green killed "unable to type" on red @23:04&#13;dyAe on green killed empty on red @23:29&#13;kushii on red killed Hajadio on green @23:40 |
3IGI0VL648I39B0RQEIFFZ2MMK8ON2 W412 |USHUSHUSHUSHUSHUSH killed empty|
34BBWHLWHB9J0JY2KKWXRLJR3NLWIE W14 |robots kills human the enimies are kills humans so sad of this vedios ilike this vedios and ,y friends are like this vedio|
39OWYR0EPLP3FXRCYD809LRFY35YF0 W203 |Kunkka killed Zeus by executing his full combo|
3RYC5T2D74R6994KYLCBDJCMWDVRPT W366 |Ursa is killed by ES's fissure, aided by skywrath bots and  earth spirit boulders|
3F0BG9B9MQLQ04C6GUAOLTEYZ697Y9 W233 |Earthshaker killed Ursa with a stun.|
3A7Y0R2P2PMUKUNYC7DJ55CYOVEXJZ W298 skip
3MB8LZR5BGRUVKCRG9A7VQHOWBKLKG W278 |SENTZY IS ON A KILLING SPREE WITH A DOUBLE KILL|
35BLDD71I7VSGKN7UEFN5E33RJ8VZ6 W112 |green team gets a kill onto red team at 34:13 in scoreboard time|
30LB5CDZND8CNJMRRHRYKLDDXN20ZQ W84 |Skywrath kills Ursa by using Arcane Bolt after Ursa was ganked by Disruptor, Earth Spirit and Skywrath.|
3PH3VY7DJMV5V9NCKOKJRGMHYULWZW W399 |The flying bird killed the mob of creatures|
3PXX5PX6LYWC6YHTD58ON9INF82BA0 W370 |Player speared and blasted invaders|
3L2IS5HSFBGYMGKOM0UOE5UB31TUN7 W142 |Sentry killed Ballush|
3PB5A5BD0W4QEDR6MOOIET7UUEI7GI W83 |Earthshaker used Fissure to kill escaping Ursa|
3L70J4KAZHK5LVFDR1ZUIZ6NIUBDA8 W243 |Sentzy on green killed  Ballush on red @21:42 x2 kill&#13;Sentzy on green killed Trying to be nice..... on red @21:56 Double Kill x 3 kill&#13;Gorgc on green killed Mooneye on red @ 22:03&#13;Trying to be nice on red kills Sentzy on green @22:27 Ends enemy kill streak|
3DL65MZB8EDY6GQB7A65UCEWJDRCE5 W0 |Earthshaker killed Ursa|
3HVVDCPGTFQDY29DTXDPQP6GPCUYTP W412 |Sentzy killed Ballush|
3F6HPJW4JEYFPYK0VHB545CAERZW2E W203 |Earthshaker killed Ursa Warrior|
34S6N1K2ZWH3TUBJAO7AIY1W53GLHV W91 skip
