3B2X28YI3XDBJW5QNSRC74G1KXUB69 W366 |Kunkka kills zeus with ulti, torrent and tidebringer|
3BXQMRHWK0WS4YZOAZFO1Q5BZIGMUB W18 |the blue player killed creeps|
3PM8NZGV8ZEB6HRB7XXS26OK31UXQ1 W89 skip
3JMSRU9HQJSU5PWBYR1AK42L4NYVEK W1 |Darou killed someone with a Chinese name.|
3IXEICO793HBFIZ7NEIX7YMNQ4V6TV W193 |Streamer Killed 3 enemies |
37M28K1J0RBIOHF51XL5LX10OLUAJK W44 |Kunkka kill Zeus using x marks the spot and ghost ship.|
35DR22AR5EIJZGL99MLWPYV9T9HX3Z W205 |Kunkka killed zues with his ultimate.|
386CSBG1O0KYN27F6AO22TB06XWQ61 W289 skip
3VD82FOHKRMKI7301O91ZO8ANIPOCJ W370 |Thunderous sword and shark killed invaders|
3F1567XTNX3L5L9D4HREM322WY59QW W207 |Player Darou killed Player with blue Japanese character name|
3018Q3ZVOJOZM5YI92UENONRY21ARP W13 |darou was on a killing spree|
323Q6SJS8JEHT21NOD4CNLWC89QHFM W294 |darou killed some guy with a chinese name|
35L9RVQFCPG6CKYDJ2ZB9LXFIW5UHY W112 |green team gets a kill onto red team at 14:31 in scoreboard time|
3DQQ64TANHJBH5L6XFMH0IK3P3QPWX W316 |Darou is on a killing spree|
30X31N5D64OBNKYVORUJDYSNK4VSA6 W135 |Kunkka found zeus all by himself and managed to kill him. |
39U1BHVTDMPCIZCP4CKZ0VA3GDRT3A W366 |alchemist is killed by invoker tornado and fireball|
3OXV7EAXLFO6G11D8ZC6PLIPW5H36A W187 |Darou killed WTS 220 around the tie of 3.55 into the video. |
3A9AA95ATXKH4M6M1EZ8AI7Q56YP5S W89 skip
3UNH76FOCT39L7JTK0CD4BBOV6RMY9 W1 skip
33LK57MYLU3COS630JAIURJWTPDSZI W18 |The green players ambushed and kill a red player|
3E1QT0TDFQ78AI2KMHGRD5G5LI4I8B W134 |The kill that happened in the game was at 04:01 when Darpu killed WTS.|
35DR22AR5EIJZGL99MLWPYV9T9H3X5 W361 |Darou killed WTS                   |
3E7TUJ2EGDKRGC58ZVLUM4V3DJF9DQ W5 skip
35H6S234SBY9UGOHMI0Z4IG9A19654 W195 skip
3MD9PLUKKJCF8FEYSNTWVX9Q6Q6NZ2 W400 |Get higher killed WTS|
3J4Q2Z4UTZ1WHHMLXS160NADUZPQW2 W370 |Massive explosion destroyed invaders|
3R2PKQ87NX6NV74OGIQAINH05NUIM0 W377 |Top Sochi killed 35.                |
3I7DHKZYGOY5D9HSNB33YOTM30DF5H W207 |Player Darou killed player WTS|
3G5F9DBFOQV6PZNDOS9G57ZYW3TVH3 W256 |SR killed Top1.Sochi|
3TVSS0C0E2Y99XEDEWV15SL0E69WT7 W112 |green team gets a kill onto red at 28:57 in scoreboard time|
3RRCEFRB7NAX491C44YXA6WNO6OB4O W366 |CM is killed in a gank by alchemist autoattacks, helped by SB|
33F859I567BRGLP7JBIG4V5RTBABHA W390 skip
3WRFBPLXRBMENM757GYNRW4BRV6N34 W18 |The right side team killed 3 of the left side team and then chased down a fourth |
35BLDD71I7VSGKN7UEFN5E33ST7ZVU W89 skip
3KKG4CDWKJWEGGMF6KK1J01X06M94D W361 |@dpmlicious killed Shrine|
3VZLGYJEYM8KK9S2UTG5TZ0O84GXZW W370 |Cyber explosion destroyed in lncoming invaders|
3D8YOU6S9FIQFVEWNJ87CU8P9I36UN W207 |Player Dracula killed player Your Friend|
3YGXWBAF71FGEETII4USLQ256RRC4Z W31 |The player using the crystal  Martin character was ambushed and kill. The opponents released various energy balls and used the strategic maneuvers of the army to conquer the player.|
3GGAI1SQEWWWI4IOO8UO7KJ5SIXCMF W294 |dpmilicious killed shrine in this video|
3K3R2QNK8C1DXEGULQBJW4ZRZJX9UN W112 |green team gets a kill onto green team at 45:54 in scoreboard time|
3137ONMDKH3BNS6G9W2OK3ZBH8YGE4 W233 |Alchemist killed Crystail Maiden after Clockwerk's hook.|
3RWE2M8QWI8I6U88OTG4PY64OJB0NB W316 |allies is on a mega kill streak|
3Z4GS9HPNW87LKG5TLKO8GU1WIC777 W234 |Dracula killed Your Friend (Crystal Maidan) |
3I0BTBYZAYJCITCMVVPF6E4BS3H0Y3 W297 |Clockwerk killed Crystal Maiden|
3TY7ZAOG5GIHYON5RGOOX6P0UOB0KB W179 |Alchemist killed Crystal Maiden with auto attack, after she barely escaped Clockwerk.|
3P59JYT76MINXHG60C6UHL5BAZRT2Z W366 |DK is killed in mid by earth shaker and silencer|
30H4UDGLT3GFCTRSTDGURKICR1OPMI W18 |The two right side players killed a left side player|
32M8BPYGAUKN3X825FSF5IX391HIGR W89 |The soldiers killed the dragon|
3FPRZHYEPZ5RVRGE97KE1DYODY93V2 W361 |idc mmr killed bulba is my only friend|
3Z7VU45IPZFCU879N0VYYQWN3P0Z15 W5 skip
3WS1NTTKEZA6I2VRQ5XRHTXVMS1F0V W44 |Rubick, Earthshaker and Spirit Breaker kill a Dragon Knight.|
3X87C8JFV793A05CDNR53Y7SOMTQSN W370 |Player blasted dragon and invaders|
3QHK8ZVMINGT2H8XAWXEWNYYASKLBS W184 |the green flying character (video too blurry to see names)|
3OS4RQUCRAD72PY1OLUG1ATEDWZBFE W364 skip
38F5OAUN5OA4E9MH6U60ZTJVALLH7W W249 |Mode emachu kills Bubba is my only friend|
386PBUZZXGVZK069YOAVUBHBIXUJLC W207 |Player mode emochi(sad) killed player Bulba is my only friend|
3ZQIG0FLQFEOMPI2JRVG6A9LBRPVWM W294 |dullo killed recovery in this here fine video|
31EUONYN2W1GHG90S546PGWZ8PRVOB W112 |red team gets a kill onto green team at 9:15 in scoreboard time|
38F5OAUN5OA4E9MH6U60ZTJVAL67H7 W96 |shoulder killed tha red dot|
3MX2NQ3YCASMDV8DN59P4VTT75W5XL W233 |Dragon Knight was killed by a 3-man gank of Spiritbreaker, Rubick and Earthshaker.|
