3X31TUMD7YKSPJQ58Z4PQBLPOL51LB W109 |Kunkka killed Zeus &#13;Dark Seer killed Tusk|
3Z4XG4ZF49P50DRFL3GSGF3K90LX8D W370 |Sword blaze and mass explosion killed invaders|
3S0TNUHWKUGR27MYU3FGM80STIAD8S W16 |Darou killed another player (in Chinese).|
3TK8OJTYM2JY2GL175HLEG1PIZEPVN W165 |Kunkka kills Zeus with X Marks the Spot, Torrent and Ghostship.|
3AUQQEL7U6RVEZHHQK2VZF0HAR40VT W336 skip
3U84XHCDIDBTM74SAIE0WO3QFES4ZF W334 |Darou killed the giant shiny whale. |
3WS1NTTKEZA6I2VRQ5XRHTXVMXLF0P W179 |Kunkka killed Zeus by using X marks the spot to land torrent, ghost ship, and tidebringer autoattack on him.|
3KGTPGBS6YJ2XUVV0HW4MHRDTIM2UX W26 |Darou killed a user with asian characters as their name|
3WETL7AQWU6AXX1Z3G21XF4P0FU53U W339 |Player kills attacking creatures |
3JMSRU9HQJSU5PWBYR1AK42L4SNVEJ W112 |green team gets a kill onto red team at 14:31 in scoreboard time|
3BF51CHDTW8QWYMXLVLRKE982C4H0V W360 |The player is killing mobs ans regen|
3FDJT1UU756GTV96OMU0E1LRB1L5KA W396 |Darou went on a killing spree and killed USHUSHUSHUSHUSHUSH|
33SA9F9TRYS7KEWGO16666LZB2XWE4 W233 |Kunkka killed Zeus with his a combination of his skills.|
3TXWC2NHN0OXI1OQWLGJH3H3ESLS9B W126 |Hajadlo killed kushii|
30OG32W0SV9HXKN2W0FJAN88IQ4NEF W145 |Darou killed a character whose name was all asian characters that I cannnot identify|
